schedule_id,volunteer_id,volunteer_name,status,volunteer_shift_pref,schedule_date,shift_type,scheduled_hours,schedule_status,no_show_flag,calls_that_day,avg_call_duration_minutes,year,month,day_of_week,is_weekend,is_federal_holiday,program_is_open
16,9543,Finley R,Resigned,Afternoon,2021-01-20,Day,4,Scheduled,false,5,20.80,2021,1,Wednesday,false,false,true
17,9508,Emerson K,Resigned,Day,2021-01-25,Day,4,Scheduled,false,4,25.25,2021,1,Monday,false,false,true
18,9540,Parker I,Resigned,Afternoon,2021-01-25,Day,4,Scheduled,false,5,20.60,2021,1,Monday,false,false,true
19,9548,Taylor C,Active,Afternoon,2021-01-25,Afternoon,4,Scheduled,false,4,22.75,2021,1,Monday,false,false,true
20,9516,Jordan V,Resigned,Afternoon,2021-01-25,Afternoon,4,Scheduled,false,5,27.20,2021,1,Monday,false,false,true
21,9543,Finley R,Resigned,Afternoon,2021-01-26,Day,4,Scheduled,false,7,14.14,2021,1,Tuesday,false,false,true
22,9570,Rowan T,Active,Afternoon,2021-01-26,Day,4,Scheduled,true,0,,2021,1,Tuesday,false,false,true
23,9543,Finley R,Resigned,Afternoon,2021-02-02,Day,4,Scheduled,false,8,26.00,2021,2,Tuesday,false,false,true
24,9516,Jordan V,Resigned,Afternoon,2021-02-02,Day,4,Scheduled,true,0,,2021,2,Tuesday,false,false,true
25,9540,Parker I,Resigned,Afternoon,2021-02-03,Day,4,Scheduled,false,4,24.50,2021,2,Wednesday,false,false,true
26,9570,Rowan T,Active,Afternoon,2021-02-03,Day,4,Scheduled,false,5,20.40,2021,2,Wednesday,false,false,true
27,9508,Emerson K,Resigned,Day,2021-02-03,Afternoon,4,Scheduled,true,0,,2021,2,Wednesday,false,false,true
28,9548,Taylor C,Active,Afternoon,2021-02-03,Afternoon,4,Scheduled,false,8,18.00,2021,2,Wednesday,false,false,true
29,9540,Parker I,Resigned,Afternoon,2021-02-08,Afternoon,4,Scheduled,false,3,27.67,2021,2,Monday,false,false,true
30,9516,Jordan V,Resigned,Afternoon,2021-02-08,Afternoon,4,Scheduled,false,4,18.50,2021,2,Monday,false,false,true
31,9508,Emerson K,Resigned,Day,2021-02-09,Day,4,Scheduled,false,6,25.33,2021,2,Tuesday,false,false,true
32,9543,Finley R,Resigned,Afternoon,2021-02-09,Day,4,Scheduled,true,0,,2021,2,Tuesday,false,false,true
33,9548,Taylor C,Active,Afternoon,2021-02-11,Day,4,Scheduled,false,4,33.25,2021,2,Thursday,false,false,true
34,9570,Rowan T,Active,Afternoon,2021-02-11,Day,4,Scheduled,false,6,27.50,2021,2,Thursday,false,false,true
35,9548,Taylor C,Active,Afternoon,2021-02-15,Afternoon,4,Scheduled,false,5,29.20,2021,2,Monday,false,true,true
36,9540,Parker I,Resigned,Afternoon,2021-02-15,Afternoon,4,Scheduled,false,3,20.67,2021,2,Monday,false,true,true
37,9543,Finley R,Resigned,Afternoon,2021-02-16,Day,4,Scheduled,false,8,26.00,2021,2,Tuesday,false,false,true
38,9570,Rowan T,Active,Afternoon,2021-02-16,Day,4,Scheduled,false,2,23.00,2021,2,Tuesday,false,false,true
39,9516,Jordan V,Resigned,Afternoon,2021-02-16,Afternoon,4,Scheduled,false,5,16.60,2021,2,Tuesday,false,false,true
40,9508,Emerson K,Resigned,Day,2021-02-16,Afternoon,4,Scheduled,false,6,27.33,2021,2,Tuesday,false,false,true
41,9570,Rowan T,Active,Afternoon,2021-02-22,Day,4,Scheduled,false,5,26.40,2021,2,Monday,false,false,true
42,9516,Jordan V,Resigned,Afternoon,2021-02-22,Day,4,Scheduled,false,4,17.00,2021,2,Monday,false,false,true
43,9508,Emerson K,Resigned,Day,2021-02-22,Afternoon,4,Scheduled,false,6,16.67,2021,2,Monday,false,false,true
44,9548,Taylor C,Active,Afternoon,2021-02-22,Afternoon,4,Scheduled,false,6,20.67,2021,2,Monday,false,false,true
45,9543,Finley R,Resigned,Afternoon,2021-02-24,Day,4,Scheduled,false,6,18.00,2021,2,Wednesday,false,false,true
46,9540,Parker I,Resigned,Afternoon,2021-02-24,Afternoon,4,Scheduled,false,8,17.00,2021,2,Wednesday,false,false,true
47,9508,Emerson K,Resigned,Day,2021-03-01,Day,4,Scheduled,false,1,21.00,2021,3,Monday,false,false,true
48,9543,Finley R,Resigned,Afternoon,2021-03-01,Day,4,Scheduled,true,0,,2021,3,Monday,false,false,true
49,9540,Parker I,Resigned,Afternoon,2021-03-02,Day,4,Scheduled,false,2,24.50,2021,3,Tuesday,false,false,true
50,9570,Rowan T,Active,Afternoon,2021-03-02,Day,4,Scheduled,false,2,17.00,2021,3,Tuesday,false,false,true
51,9516,Jordan V,Resigned,Afternoon,2021-03-02,Afternoon,4,Scheduled,true,0,,2021,3,Tuesday,false,false,true
52,9548,Taylor C,Active,Afternoon,2021-03-02,Afternoon,4,Scheduled,true,0,,2021,3,Tuesday,false,false,true
53,9516,Jordan V,Resigned,Afternoon,2021-03-08,Day,4,Scheduled,false,5,21.80,2021,3,Monday,false,false,true
54,9557,Reese N,Resigned,Afternoon,2021-03-09,Day,4,Scheduled,true,0,,2021,3,Tuesday,false,false,true
55,9548,Taylor C,Active,Afternoon,2021-03-09,Day,4,Scheduled,false,3,10.33,2021,3,Tuesday,false,false,true
56,9508,Emerson K,Resigned,Day,2021-03-09,Afternoon,4,Scheduled,false,4,25.75,2021,3,Tuesday,false,false,true
57,9543,Finley R,Resigned,Afternoon,2021-03-09,Afternoon,4,Scheduled,false,4,24.50,2021,3,Tuesday,false,false,true
58,9570,Rowan T,Active,Afternoon,2021-03-10,Day,4,Scheduled,true,0,,2021,3,Wednesday,false,false,true
59,9542,Casey O,Resigned,Afternoon,2021-03-10,Day,4,Scheduled,false,2,21.00,2021,3,Wednesday,false,false,true
60,9540,Parker I,Resigned,Afternoon,2021-03-12,Day,4,Scheduled,true,0,,2021,3,Friday,false,false,true
61,9557,Reese N,Resigned,Afternoon,2021-03-15,Day,4,Scheduled,false,3,24.00,2021,3,Monday,false,false,true
62,9570,Rowan T,Active,Afternoon,2021-03-15,Day,4,Scheduled,false,2,15.00,2021,3,Monday,false,false,true
63,9543,Finley R,Resigned,Afternoon,2021-03-15,Afternoon,4,Scheduled,false,3,37.33,2021,3,Monday,false,false,true
64,9540,Parker I,Resigned,Afternoon,2021-03-15,Afternoon,4,Scheduled,false,1,7.00,2021,3,Monday,false,false,true
65,9516,Jordan V,Resigned,Afternoon,2021-03-17,Afternoon,4,Scheduled,false,3,20.00,2021,3,Wednesday,false,false,true
66,9548,Taylor C,Active,Afternoon,2021-03-17,Afternoon,4,Scheduled,false,1,34.00,2021,3,Wednesday,false,false,true
67,9508,Emerson K,Resigned,Day,2021-03-18,Day,4,Scheduled,false,3,27.33,2021,3,Thursday,false,false,true
68,9542,Casey O,Resigned,Afternoon,2021-03-18,Day,4,Scheduled,false,1,21.00,2021,3,Thursday,false,false,true
69,9570,Rowan T,Active,Afternoon,2021-03-22,Day,4,Scheduled,true,0,,2021,3,Monday,false,false,true
70,9548,Taylor C,Active,Afternoon,2021-03-22,Day,4,Scheduled,false,4,19.50,2021,3,Monday,false,false,true
71,9516,Jordan V,Resigned,Afternoon,2021-03-22,Afternoon,4,Scheduled,false,4,22.25,2021,3,Monday,false,false,true
72,9540,Parker I,Resigned,Afternoon,2021-03-22,Afternoon,4,Scheduled,false,1,6.00,2021,3,Monday,false,false,true
73,9557,Reese N,Resigned,Afternoon,2021-03-23,Afternoon,4,Scheduled,true,0,,2021,3,Tuesday,false,false,true
74,9542,Casey O,Resigned,Afternoon,2021-03-23,Afternoon,4,Scheduled,false,3,24.33,2021,3,Tuesday,false,false,true
75,9508,Emerson K,Resigned,Day,2021-03-26,Day,4,Scheduled,true,0,,2021,3,Friday,false,false,true
76,9543,Finley R,Resigned,Afternoon,2021-03-26,Day,4,Scheduled,false,1,29.00,2021,3,Friday,false,false,true
77,9540,Parker I,Resigned,Afternoon,2021-03-29,Day,4,Scheduled,true,0,,2021,3,Monday,false,false,true
78,9557,Reese N,Resigned,Afternoon,2021-03-29,Day,4,Scheduled,false,1,30.00,2021,3,Monday,false,false,true
79,9542,Casey O,Resigned,Afternoon,2021-03-30,Afternoon,4,Scheduled,true,0,,2021,3,Tuesday,false,false,true
80,9508,Emerson K,Resigned,Day,2021-03-30,Afternoon,4,Scheduled,true,0,,2021,3,Tuesday,false,false,true
81,9570,Rowan T,Active,Afternoon,2021-03-31,Day,4,Scheduled,false,2,22.00,2021,3,Wednesday,false,false,true
82,9548,Taylor C,Active,Afternoon,2021-03-31,Day,4,Scheduled,true,0,,2021,3,Wednesday,false,false,true
83,9516,Jordan V,Resigned,Afternoon,2021-04-01,Day,4,Scheduled,false,4,9.50,2021,4,Thursday,false,false,true
84,9543,Finley R,Resigned,Afternoon,2021-04-01,Day,4,Scheduled,false,2,30.00,2021,4,Thursday,false,false,true
85,9516,Jordan V,Resigned,Afternoon,2021-04-05,Afternoon,4,Scheduled,false,2,13.00,2021,4,Monday,false,false,true
86,9508,Emerson K,Resigned,Day,2021-04-06,Day,4,Scheduled,false,6,24.67,2021,4,Tuesday,false,false,true
87,9557,Reese N,Resigned,Afternoon,2021-04-06,Day,4,Scheduled,true,0,,2021,4,Tuesday,false,false,true
88,9570,Rowan T,Active,Afternoon,2021-04-06,Afternoon,4,Scheduled,false,1,29.00,2021,4,Tuesday,false,false,true
89,9543,Finley R,Resigned,Afternoon,2021-04-06,Afternoon,4,Scheduled,false,3,24.33,2021,4,Tuesday,false,false,true
90,9548,Taylor C,Active,Afternoon,2021-04-07,Day,4,Scheduled,true,0,,2021,4,Wednesday,false,false,true
91,9540,Parker I,Resigned,Afternoon,2021-04-07,Day,4,Scheduled,false,2,14.00,2021,4,Wednesday,false,false,true
92,9542,Casey O,Resigned,Afternoon,2021-04-07,Afternoon,4,Scheduled,true,0,,2021,4,Wednesday,false,false,true
93,9542,Casey O,Resigned,Afternoon,2021-04-12,Day,4,Scheduled,true,0,,2021,4,Monday,false,false,true
94,9540,Parker I,Resigned,Afternoon,2021-04-12,Day,4,Scheduled,false,3,11.00,2021,4,Monday,false,false,true
95,9508,Emerson K,Resigned,Day,2021-04-13,Day,4,Scheduled,false,2,20.50,2021,4,Tuesday,false,false,true
96,9516,Jordan V,Resigned,Afternoon,2021-04-13,Day,4,Scheduled,false,2,27.00,2021,4,Tuesday,false,false,true
97,9557,Reese N,Resigned,Afternoon,2021-04-14,Day,4,Scheduled,true,0,,2021,4,Wednesday,false,false,true
98,9543,Finley R,Resigned,Afternoon,2021-04-14,Day,4,Scheduled,false,1,17.00,2021,4,Wednesday,false,false,true
99,9548,Taylor C,Active,Afternoon,2021-04-15,Afternoon,4,Scheduled,false,1,21.00,2021,4,Thursday,false,false,true
100,9570,Rowan T,Active,Afternoon,2021-04-15,Afternoon,4,Scheduled,false,3,24.33,2021,4,Thursday,false,false,true
101,9570,Rowan T,Active,Afternoon,2021-04-19,Day,4,Scheduled,true,0,,2021,4,Monday,false,false,true
102,9548,Taylor C,Active,Afternoon,2021-04-19,Day,4,Scheduled,true,0,,2021,4,Monday,false,false,true
103,9543,Finley R,Resigned,Afternoon,2021-04-19,Afternoon,4,Scheduled,false,3,21.00,2021,4,Monday,false,false,true
104,9516,Jordan V,Resigned,Afternoon,2021-04-19,Afternoon,4,Scheduled,false,1,26.00,2021,4,Monday,false,false,true
105,9508,Emerson K,Resigned,Day,2021-04-20,Day,4,Scheduled,false,4,21.75,2021,4,Tuesday,false,false,true
106,9540,Parker I,Resigned,Afternoon,2021-04-20,Day,4,Scheduled,true,0,,2021,4,Tuesday,false,false,true
107,9557,Reese N,Resigned,Afternoon,2021-04-20,Afternoon,4,Scheduled,false,2,26.00,2021,4,Tuesday,false,false,true
108,9542,Casey O,Resigned,Afternoon,2021-04-20,Afternoon,4,Scheduled,true,0,,2021,4,Tuesday,false,false,true
109,9508,Emerson K,Resigned,Day,2021-04-26,Day,4,Scheduled,true,0,,2021,4,Monday,false,false,true
110,9570,Rowan T,Active,Afternoon,2021-04-26,Afternoon,4,Scheduled,false,3,35.67,2021,4,Monday,false,false,true
111,9557,Reese N,Resigned,Afternoon,2021-04-26,Afternoon,4,Scheduled,false,1,18.00,2021,4,Monday,false,false,true
112,9542,Casey O,Resigned,Afternoon,2021-04-27,Afternoon,4,Scheduled,true,0,,2021,4,Tuesday,false,false,true
113,9548,Taylor C,Active,Afternoon,2021-04-27,Afternoon,4,Scheduled,false,2,16.50,2021,4,Tuesday,false,false,true
114,9540,Parker I,Resigned,Afternoon,2021-04-28,Day,4,Scheduled,false,1,38.00,2021,4,Wednesday,false,false,true
115,9543,Finley R,Resigned,Afternoon,2021-04-28,Day,4,Scheduled,false,3,23.33,2021,4,Wednesday,false,false,true
116,9516,Jordan V,Resigned,Afternoon,2021-04-28,Afternoon,4,Scheduled,false,2,24.50,2021,4,Wednesday,false,false,true
117,9508,Emerson K,Resigned,Day,2021-05-03,Day,4,Scheduled,false,1,27.00,2021,5,Monday,false,false,true
118,9570,Rowan T,Active,Afternoon,2021-05-03,Day,4,Scheduled,false,2,19.00,2021,5,Monday,false,false,true
119,9557,Reese N,Resigned,Afternoon,2021-05-03,Afternoon,4,Scheduled,false,2,14.50,2021,5,Monday,false,false,true
120,9516,Jordan V,Resigned,Afternoon,2021-05-03,Afternoon,4,Scheduled,false,3,25.00,2021,5,Monday,false,false,true
121,9540,Parker I,Resigned,Afternoon,2021-05-04,Day,4,Scheduled,true,0,,2021,5,Tuesday,false,false,true
122,9542,Casey O,Resigned,Afternoon,2021-05-04,Afternoon,4,Scheduled,false,2,16.50,2021,5,Tuesday,false,false,true
123,9543,Finley R,Resigned,Afternoon,2021-05-05,Day,4,Scheduled,false,3,24.67,2021,5,Wednesday,false,false,true
124,9548,Taylor C,Active,Afternoon,2021-05-05,Day,4,Scheduled,false,3,13.67,2021,5,Wednesday,false,false,true
125,9557,Reese N,Resigned,Afternoon,2021-05-10,Day,4,Scheduled,false,3,18.00,2021,5,Monday,false,false,true
126,9542,Casey O,Resigned,Afternoon,2021-05-10,Day,4,Scheduled,false,4,34.50,2021,5,Monday,false,false,true
127,9540,Parker I,Resigned,Afternoon,2021-05-10,Afternoon,4,Scheduled,false,3,7.67,2021,5,Monday,false,false,true
128,9516,Jordan V,Resigned,Afternoon,2021-05-10,Afternoon,4,Scheduled,false,2,22.00,2021,5,Monday,false,false,true
129,9548,Taylor C,Active,Afternoon,2021-05-11,Day,4,Scheduled,false,3,26.33,2021,5,Tuesday,false,false,true
130,9508,Emerson K,Resigned,Day,2021-05-11,Day,4,Scheduled,false,1,39.00,2021,5,Tuesday,false,false,true
131,9570,Rowan T,Active,Afternoon,2021-05-12,Day,4,Scheduled,false,2,31.50,2021,5,Wednesday,false,false,true
132,9543,Finley R,Resigned,Afternoon,2021-05-12,Day,4,Scheduled,false,3,27.33,2021,5,Wednesday,false,false,true
133,9557,Reese N,Resigned,Afternoon,2021-05-17,Day,4,Scheduled,false,1,33.00,2021,5,Monday,false,false,true
134,9516,Jordan V,Resigned,Afternoon,2021-05-17,Day,4,Scheduled,true,0,,2021,5,Monday,false,false,true
135,9542,Casey O,Resigned,Afternoon,2021-05-18,Day,4,Scheduled,false,1,24.00,2021,5,Tuesday,false,false,true
136,9521,Emerson V,Resigned,Afternoon,2021-05-18,Day,4,Scheduled,true,0,,2021,5,Tuesday,false,false,true
137,9570,Rowan T,Active,Afternoon,2021-05-19,Afternoon,4,Scheduled,false,4,16.00,2021,5,Wednesday,false,false,true
138,9548,Taylor C,Active,Afternoon,2021-05-19,Afternoon,4,Scheduled,false,2,19.50,2021,5,Wednesday,false,false,true
139,9508,Emerson K,Resigned,Day,2021-05-20,Day,4,Scheduled,false,1,12.00,2021,5,Thursday,false,false,true
140,9540,Parker I,Resigned,Afternoon,2021-05-20,Day,4,Scheduled,false,1,17.00,2021,5,Thursday,false,false,true
141,9543,Finley R,Resigned,Afternoon,2021-05-20,Afternoon,4,Scheduled,false,2,25.50,2021,5,Thursday,false,false,true
142,9542,Casey O,Resigned,Afternoon,2021-05-24,Day,4,Scheduled,false,2,19.00,2021,5,Monday,false,false,true
143,9570,Rowan T,Active,Afternoon,2021-05-24,Day,4,Scheduled,false,4,25.75,2021,5,Monday,false,false,true
144,9508,Emerson K,Resigned,Day,2021-05-24,Afternoon,4,Scheduled,false,2,13.00,2021,5,Monday,false,false,true
145,9516,Jordan V,Resigned,Afternoon,2021-05-24,Afternoon,4,Scheduled,true,0,,2021,5,Monday,false,false,true
146,9548,Taylor C,Active,Afternoon,2021-05-25,Day,4,Scheduled,false,1,21.00,2021,5,Tuesday,false,false,true
147,9557,Reese N,Resigned,Afternoon,2021-05-25,Day,4,Scheduled,false,2,8.00,2021,5,Tuesday,false,false,true
148,9540,Parker I,Resigned,Afternoon,2021-05-25,Afternoon,4,Scheduled,false,1,31.00,2021,5,Tuesday,false,false,true
149,9543,Finley R,Resigned,Afternoon,2021-05-25,Afternoon,4,Scheduled,false,3,20.67,2021,5,Tuesday,false,false,true
150,9521,Emerson V,Resigned,Afternoon,2021-05-26,Day,4,Scheduled,false,2,10.00,2021,5,Wednesday,false,false,true
151,9557,Reese N,Resigned,Afternoon,2021-05-31,Day,4,Scheduled,false,2,23.50,2021,5,Monday,false,true,true
152,9508,Emerson K,Resigned,Day,2021-05-31,Day,4,Scheduled,false,1,25.00,2021,5,Monday,false,true,true
153,9516,Jordan V,Resigned,Afternoon,2021-05-31,Afternoon,4,Scheduled,true,0,,2021,5,Monday,false,true,true
154,9542,Casey O,Resigned,Afternoon,2021-05-31,Afternoon,4,Scheduled,true,0,,2021,5,Monday,false,true,true
155,9570,Rowan T,Active,Afternoon,2021-06-01,Afternoon,4,Scheduled,false,1,7.00,2021,6,Tuesday,false,false,true
156,9548,Taylor C,Active,Afternoon,2021-06-01,Afternoon,4,Scheduled,false,2,17.50,2021,6,Tuesday,false,false,true
157,9543,Finley R,Resigned,Afternoon,2021-06-02,Day,4,Scheduled,false,3,15.67,2021,6,Wednesday,false,false,true
158,9521,Emerson V,Resigned,Afternoon,2021-06-02,Day,4,Scheduled,false,2,20.50,2021,6,Wednesday,false,false,true
159,9540,Parker I,Resigned,Afternoon,2021-06-02,Afternoon,4,Scheduled,true,0,,2021,6,Wednesday,false,false,true
160,9540,Parker I,Resigned,Afternoon,2021-06-07,Afternoon,4,Scheduled,false,2,29.00,2021,6,Monday,false,false,true
161,9542,Casey O,Resigned,Afternoon,2021-06-07,Afternoon,4,Scheduled,true,0,,2021,6,Monday,false,false,true
162,9557,Reese N,Resigned,Afternoon,2021-06-08,Day,4,Scheduled,false,4,23.50,2021,6,Tuesday,false,false,true
163,9516,Jordan V,Resigned,Afternoon,2021-06-08,Day,4,Scheduled,false,1,8.00,2021,6,Tuesday,false,false,true
164,9521,Emerson V,Resigned,Afternoon,2021-06-08,Afternoon,4,Scheduled,false,3,20.00,2021,6,Tuesday,false,false,true
165,9570,Rowan T,Active,Afternoon,2021-06-08,Afternoon,4,Scheduled,false,2,27.50,2021,6,Tuesday,false,false,true
166,9543,Finley R,Resigned,Afternoon,2021-06-09,Day,4,Scheduled,true,0,,2021,6,Wednesday,false,false,true
167,9548,Taylor C,Active,Afternoon,2021-06-09,Day,4,Scheduled,false,5,15.80,2021,6,Wednesday,false,false,true
168,9508,Emerson K,Resigned,Day,2021-06-10,Day,4,Scheduled,false,1,22.00,2021,6,Thursday,false,false,true
169,9508,Emerson K,Resigned,Day,2021-06-15,Afternoon,4,Scheduled,false,1,34.00,2021,6,Tuesday,false,false,true
170,9542,Casey O,Resigned,Afternoon,2021-06-15,Afternoon,4,Scheduled,false,5,21.80,2021,6,Tuesday,false,false,true
171,9540,Parker I,Resigned,Afternoon,2021-06-16,Day,4,Scheduled,true,0,,2021,6,Wednesday,false,false,true
172,9521,Emerson V,Resigned,Afternoon,2021-06-16,Day,4,Scheduled,false,3,21.33,2021,6,Wednesday,false,false,true
173,9570,Rowan T,Active,Afternoon,2021-06-16,Afternoon,4,Scheduled,false,2,10.50,2021,6,Wednesday,false,false,true
174,9548,Taylor C,Active,Afternoon,2021-06-16,Afternoon,4,Scheduled,true,0,,2021,6,Wednesday,false,false,true
175,9557,Reese N,Resigned,Afternoon,2021-06-18,Day,4,Scheduled,true,0,,2021,6,Friday,false,true,true
176,9543,Finley R,Resigned,Afternoon,2021-06-18,Day,4,Scheduled,false,3,22.67,2021,6,Friday,false,true,true
177,9570,Rowan T,Active,Afternoon,2021-06-21,Day,4,Scheduled,false,5,25.00,2021,6,Monday,false,false,true
178,9540,Parker I,Resigned,Afternoon,2021-06-21,Day,4,Scheduled,true,0,,2021,6,Monday,false,false,true
179,9543,Finley R,Resigned,Afternoon,2021-06-21,Afternoon,4,Scheduled,false,5,19.60,2021,6,Monday,false,false,true
180,9519,Reese L,Resigned,Afternoon,2021-06-21,Afternoon,4,Scheduled,false,1,31.00,2021,6,Monday,false,false,true
181,9521,Emerson V,Resigned,Afternoon,2021-06-23,Day,4,Scheduled,false,3,26.67,2021,6,Wednesday,false,false,true
182,9516,Jordan V,Resigned,Afternoon,2021-06-23,Day,4,Scheduled,false,4,16.75,2021,6,Wednesday,false,false,true
183,9548,Taylor C,Active,Afternoon,2021-06-24,Day,4,Scheduled,false,2,31.50,2021,6,Thursday,false,false,true
184,9542,Casey O,Resigned,Afternoon,2021-06-24,Day,4,Scheduled,false,2,16.50,2021,6,Thursday,false,false,true
185,9557,Reese N,Resigned,Afternoon,2021-06-25,Day,4,Scheduled,true,0,,2021,6,Friday,false,false,true
186,9508,Emerson K,Resigned,Day,2021-06-25,Day,4,Scheduled,false,2,13.00,2021,6,Friday,false,false,true
187,9519,Reese L,Resigned,Afternoon,2021-06-29,Afternoon,4,Scheduled,false,3,26.33,2021,6,Tuesday,false,false,true
188,9570,Rowan T,Active,Afternoon,2021-06-29,Afternoon,4,Scheduled,false,2,25.00,2021,6,Tuesday,false,false,true
189,9521,Emerson V,Resigned,Afternoon,2021-06-30,Day,4,Scheduled,false,1,14.00,2021,6,Wednesday,false,false,true
190,9516,Jordan V,Resigned,Afternoon,2021-06-30,Day,4,Scheduled,false,2,21.50,2021,6,Wednesday,false,false,true
191,9542,Casey O,Resigned,Afternoon,2021-06-30,Afternoon,4,Scheduled,false,2,8.50,2021,6,Wednesday,false,false,true
192,9557,Reese N,Resigned,Afternoon,2021-06-30,Afternoon,4,Scheduled,false,1,28.00,2021,6,Wednesday,false,false,true
193,9508,Emerson K,Resigned,Day,2021-07-01,Day,4,Scheduled,false,1,12.00,2021,7,Thursday,false,false,true
194,9540,Parker I,Resigned,Afternoon,2021-07-01,Day,4,Scheduled,false,2,9.00,2021,7,Thursday,false,false,true
195,9548,Taylor C,Active,Afternoon,2021-07-01,Afternoon,4,Scheduled,false,3,11.33,2021,7,Thursday,false,false,true
196,9543,Finley R,Resigned,Afternoon,2021-07-01,Afternoon,4,Scheduled,false,2,32.00,2021,7,Thursday,false,false,true
197,9516,Jordan V,Resigned,Afternoon,2021-07-05,Day,4,Scheduled,false,3,14.67,2021,7,Monday,false,true,true
198,9543,Finley R,Resigned,Afternoon,2021-07-05,Day,4,Scheduled,false,2,16.50,2021,7,Monday,false,true,true
199,9570,Rowan T,Active,Afternoon,2021-07-05,Afternoon,4,Scheduled,false,2,22.50,2021,7,Monday,false,true,true
200,9519,Reese L,Resigned,Afternoon,2021-07-05,Afternoon,4,Scheduled,false,2,24.00,2021,7,Monday,false,true,true
201,9548,Taylor C,Active,Afternoon,2021-07-06,Day,4,Scheduled,false,2,22.50,2021,7,Tuesday,false,false,true
202,9540,Parker I,Resigned,Afternoon,2021-07-06,Day,4,Scheduled,false,2,25.00,2021,7,Tuesday,false,false,true
203,9521,Emerson V,Resigned,Afternoon,2021-07-07,Day,4,Scheduled,true,0,,2021,7,Wednesday,false,false,true
204,9542,Casey O,Resigned,Afternoon,2021-07-07,Day,4,Scheduled,false,3,34.33,2021,7,Wednesday,false,false,true
205,9557,Reese N,Resigned,Afternoon,2021-07-08,Afternoon,4,Scheduled,false,2,21.50,2021,7,Thursday,false,false,true
206,9508,Emerson K,Resigned,Day,2021-07-08,Afternoon,4,Scheduled,false,3,28.33,2021,7,Thursday,false,false,true
207,9557,Reese N,Resigned,Afternoon,2021-07-12,Afternoon,4,Scheduled,false,4,20.50,2021,7,Monday,false,false,true
208,9542,Casey O,Resigned,Afternoon,2021-07-12,Afternoon,4,Scheduled,false,2,15.00,2021,7,Monday,false,false,true
209,9540,Parker I,Resigned,Afternoon,2021-07-13,Day,4,Scheduled,false,3,21.67,2021,7,Tuesday,false,false,true
210,9548,Taylor C,Active,Afternoon,2021-07-13,Day,4,Scheduled,true,0,,2021,7,Tuesday,false,false,true
211,9570,Rowan T,Active,Afternoon,2021-07-13,Afternoon,4,Scheduled,true,0,,2021,7,Tuesday,false,false,true
212,9519,Reese L,Resigned,Afternoon,2021-07-13,Afternoon,4,Scheduled,false,3,19.00,2021,7,Tuesday,false,false,true
213,9521,Emerson V,Resigned,Afternoon,2021-07-14,Day,4,Scheduled,true,0,,2021,7,Wednesday,false,false,true
214,9516,Jordan V,Resigned,Afternoon,2021-07-14,Day,4,Scheduled,false,3,25.33,2021,7,Wednesday,false,false,true
215,9543,Finley R,Resigned,Afternoon,2021-07-14,Afternoon,4,Scheduled,false,3,22.00,2021,7,Wednesday,false,false,true
216,9508,Emerson K,Resigned,Day,2021-07-14,Afternoon,4,Scheduled,false,1,8.00,2021,7,Wednesday,false,false,true
217,9516,Jordan V,Resigned,Afternoon,2021-07-19,Day,4,Scheduled,false,4,17.00,2021,7,Monday,false,false,true
